ensembl_id	biotype	description
ENSG00000251125	lncRNA	novel transcript
ENSG00000251126	lncRNA	novel transcript, antisense to ANK2
ENSG00000251127	lncRNA	novel transcript
ENSG00000251131	lncRNA	novel transcript
ENSG00000251132	lncRNA	novel transcript
ENSG00000251139	lncRNA	novel transcript, antisense to ACSL1
ENSG00000251143	lncRNA	NUMA1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58252]
ENSG00000251148	lncRNA	novel transcript
ENSG00000251152	lncRNA	novel transcript
ENSG00000251161	lncRNA	novel transcript
ENSG00000251168	lncRNA	novel transcript
ENSG00000251170	lncRNA	novel transcript
ENSG00000251171	lncRNA	SH3RF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58426]
ENSG00000251184	protein_coding	novel protein
ENSG00000251185	lncRNA	novel transcript
ENSG00000251186	lncRNA	novel transcript
ENSG00000251187	lncRNA	novel transcript
ENSG00000251189	lncRNA	novel transcript
ENSG00000251199	lncRNA	novel transcript
ENSG00000251200	lncRNA	novel transcript
ENSG00000251205	lncRNA	novel transcript
ENSG00000251214	lncRNA	novel transcript
ENSG00000251216	lncRNA	novel transcript
ENSG00000251218	NOT_FOUND_IN_ENSEMBL	
ENSG00000251239	lncRNA	novel transcript, antisense to CACNA1G
ENSG00000251244	lncRNA	novel transcript
ENSG00000251246	protein_coding	EFNA4-EFNA3 readthrough [Source:NCBI gene (formerly Entrezgene);Acc:125467750]
ENSG00000251248	lncRNA	novel transcript
ENSG00000251249	lncRNA	long intergenic non-protein coding RNA 3074 [Source:HGNC Symbol;Acc:HGNC:56654]
ENSG00000251257	lncRNA	EGFLAM antisense RNA 5 [Source:HGNC Symbol;Acc:HGNC:58126]
ENSG00000251259	lncRNA	novel transcript
ENSG00000251264	lncRNA	novel transcript
ENSG00000251270	lncRNA	novel transcript
ENSG00000251293	lncRNA	novel transcript
ENSG00000251294	lncRNA	novel transcript
ENSG00000251309	lncRNA	novel transcript
ENSG00000251310	lncRNA	novel transcript
ENSG00000251314	NOT_FOUND_IN_ENSEMBL	
ENSG00000251325	lncRNA	novel transcript
ENSG00000251330	lncRNA	novel transcript, antisense to FBXO38
ENSG00000251339	lncRNA	novel transcript
ENSG00000251357	protein_coding	novel protein
ENSG00000251361	lncRNA	novel transcript
ENSG00000251367	lncRNA	novel transcript
ENSG00000251371	lncRNA	novel transcript
ENSG00000251376	lncRNA	novel transcript
ENSG00000251377	lncRNA	novel transcript
ENSG00000251387	lncRNA	novel transcript
ENSG00000251388	lncRNA	novel transcript
ENSG00000251391	lncRNA	novel transcript
ENSG00000251393	lncRNA	novel transcript, antisense to NUMB and HEATR4
ENSG00000251408	lncRNA	novel transcript
ENSG00000251409	lncRNA	novel transcript
ENSG00000251410	lncRNA	novel transcript
ENSG00000251412	lncRNA	novel transcript
ENSG00000251414	lncRNA	novel transcript
ENSG00000251416	NOT_FOUND_IN_ENSEMBL	
ENSG00000251417	lncRNA	novel transcript
ENSG00000251421	lncRNA	novel transcript
ENSG00000251423	lncRNA	DNAH5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40187]
ENSG00000251426	lncRNA	novel transcript
ENSG00000251434	lncRNA	novel transcript
ENSG00000251438	lncRNA	novel transcript
ENSG00000251446	lncRNA	novel transcript
ENSG00000251448	lncRNA	novel transcript
ENSG00000251455	lncRNA	novel transcript, antisense to PET112L
ENSG00000251458	lncRNA	novel transcript
ENSG00000251459	lncRNA	novel transcript
ENSG00000251460	lncRNA	novel transcript
ENSG00000251461	lncRNA	novel transcript, antisense to IGF2BP1
ENSG00000251471	lncRNA	novel transcript
ENSG00000251488	lncRNA	novel transcript
ENSG00000251506	NOT_FOUND_IN_ENSEMBL	
ENSG00000251510	lncRNA	novel transcript
ENSG00000251511	lncRNA	novel transcript
ENSG00000251517	lncRNA	novel transcript
ENSG00000251523	lncRNA	novel transcript
ENSG00000251527	lncRNA	novel transcript
ENSG00000251532	NOT_FOUND_IN_ENSEMBL	
ENSG00000251537	protein_coding	novel tripartite motif-containing 16 (TRIM16) and CMT1A duplicated region transcript 1 (CDRT1) protein
ENSG00000251555	lncRNA	novel transcript
ENSG00000251556	lncRNA	novel transcript
ENSG00000251567	lncRNA	novel transcript
ENSG00000251569	protein_coding	novel protein
ENSG00000251574	lncRNA	novel transcript
ENSG00000251584	lncRNA	novel transcript
ENSG00000251598	lncRNA	novel transcript
ENSG00000251599	lncRNA	novel transcript
ENSG00000251600	lncRNA	GUSB pseudogene 5 [Source:NCBI gene (formerly Entrezgene);Acc:441046]
ENSG00000251601	lncRNA	novel transcript
ENSG00000251613	NOT_FOUND_IN_ENSEMBL	
ENSG00000251615	lncRNA	novel transcript
ENSG00000251616	lncRNA	novel transcript
ENSG00000251652	NOT_FOUND_IN_ENSEMBL	
ENSG00000251654	NOT_FOUND_IN_ENSEMBL	
ENSG00000251661	lncRNA	IFITM3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58185]
ENSG00000251665	lncRNA	novel transcript
ENSG00000251670	lncRNA	novel transcript
ENSG00000251675	lncRNA	novel transcript
ENSG00000251678	NOT_FOUND_IN_ENSEMBL	
ENSG00000251679	NOT_FOUND_IN_ENSEMBL	
ENSG00000251680	lncRNA	CHSY3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58253]
ENSG00000251687	lncRNA	novel transcript
ENSG00000251867	lncRNA	novel transcript, antisense to ZBTB10
ENSG00000253100	lncRNA	novel transcript
ENSG00000253102	lncRNA	LRRC59 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58254]
ENSG00000253105	lncRNA	novel transcript
ENSG00000253106	lncRNA	novel transcript, antisense to TATDN1
ENSG00000253108	lncRNA	novel transcript
ENSG00000253110	lncRNA	novel transcript
ENSG00000253111	lncRNA	TRIB1 associated lncRNA [Source:HGNC Symbol;Acc:HGNC:56762]
ENSG00000253112	lncRNA	novel transcript
ENSG00000253116	lncRNA	novel transcript
ENSG00000253121	lncRNA	novel transcript
ENSG00000253122	lncRNA	novel transcript
ENSG00000253123	lncRNA	novel transcript
ENSG00000253125	lncRNA	EGR3 and PEBP4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58186]
ENSG00000253130	lncRNA	novel transcript
ENSG00000253134	lncRNA	novel transcript
ENSG00000253141	lncRNA	novel transcript
ENSG00000253143	lncRNA	novel transcript
ENSG00000253154	lncRNA	novel transcript
ENSG00000253163	lncRNA	novel transcript
ENSG00000253164	lncRNA	novel transcript
ENSG00000253165	lncRNA	novel transcript
ENSG00000253168	lncRNA	novel transcript
ENSG00000253170	lncRNA	novel transcript
ENSG00000253171	lncRNA	novel transcript
ENSG00000253172	lncRNA	novel transcript
ENSG00000253177	lncRNA	novel transcript
ENSG00000253181	lncRNA	novel transcript
ENSG00000253184	lncRNA	novel transcript
ENSG00000253189	lncRNA	novel transcript
ENSG00000253190	lncRNA	novel transcript
ENSG00000253194	lncRNA	novel transcript, antisense to FAM184A
ENSG00000253196	lncRNA	SLURP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58427]
ENSG00000253197	NOT_FOUND_IN_ENSEMBL	
ENSG00000253200	lncRNA	novel transcript, antisense to KIAA1967
ENSG00000253205	lncRNA	novel transcript
ENSG00000253206	lncRNA	novel transcript
ENSG00000253207	lncRNA	novel transcript
ENSG00000253214	lncRNA	novel transcript
ENSG00000253215	lncRNA	novel transcript
ENSG00000253217	lncRNA	novel transcript
ENSG00000253220	lncRNA	novel transcript
ENSG00000253227	lncRNA	long intergenic non-protein coding RNA 3148 [Source:HGNC Symbol;Acc:HGNC:58365]
ENSG00000253235	NOT_FOUND_IN_ENSEMBL	
ENSG00000253238	lncRNA	novel transcript
ENSG00000253244	lncRNA	novel transcript
ENSG00000253252	lncRNA	novel transcript
ENSG00000253256	NOT_FOUND_IN_ENSEMBL	
ENSG00000253258	lncRNA	FAM83A antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56225]
ENSG00000253260	lncRNA	novel transcript
ENSG00000253266	lncRNA	novel transcript
ENSG00000253269	lncRNA	novel transcript
ENSG00000253270	lncRNA	CSGALNACT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58187]
ENSG00000253275	lncRNA	novel transcript
ENSG00000253281	lncRNA	long intergenic non-protein coding RNA 3133 [Source:HGNC Symbol;Acc:HGNC:58095]
ENSG00000253282	lncRNA	novel transcript
ENSG00000253286	lncRNA	novel transcript
ENSG00000253287	lncRNA	novel transcript
ENSG00000253288	lncRNA	novel transcript
ENSG00000253295	lncRNA	novel transcript
ENSG00000253300	lncRNA	novel transcript
ENSG00000253308	lncRNA	novel transcript
ENSG00000253317	lncRNA	novel transcript
ENSG00000253321	lncRNA	novel transcript
ENSG00000253322	lncRNA	novel transcript
ENSG00000253331	lncRNA	novel transcript
ENSG00000253334	lncRNA	novel transcript, antisense to SNX16
ENSG00000253335	lncRNA	novel transcript
ENSG00000253339	lncRNA	novel transcript
ENSG00000253342	lncRNA	novel transcript
ENSG00000253343	lncRNA	novel transcript
ENSG00000253344	lncRNA	novel transcript
ENSG00000253347	lncRNA	novel transcript
ENSG00000253348	lncRNA	novel transcript
ENSG00000253354	lncRNA	novel transcript
ENSG00000253355	lncRNA	long intergenic non-protein coding RNA 3090 [Source:HGNC Symbol;Acc:HGNC:56719]
ENSG00000253356	lncRNA	novel transcript
ENSG00000253358	lncRNA	novel transcript
ENSG00000253363	lncRNA	novel transcript
ENSG00000253369	NOT_FOUND_IN_ENSEMBL	
ENSG00000253373	lncRNA	novel transcript
ENSG00000253374	lncRNA	novel transcript
ENSG00000253376	lncRNA	novel transcript
ENSG00000253377	lncRNA	novel transcript
ENSG00000253380	lncRNA	novel transcript
ENSG00000253381	NOT_FOUND_IN_ENSEMBL	
ENSG00000253385	lncRNA	AZIN1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58328]
ENSG00000253388	lncRNA	novel transcript
ENSG00000253389	lncRNA	novel transcript, antisense to ANK1
ENSG00000253392	lncRNA	novel transcript, antisense to ZNF57
ENSG00000253395	lncRNA	long intergenic non-protein coding RNA 3044 [Source:HGNC Symbol;Acc:HGNC:56250]
ENSG00000253396	lncRNA	novel transcript
ENSG00000253397	lncRNA	novel transcript
ENSG00000253398	lncRNA	novel transcript
ENSG00000253400	NOT_FOUND_IN_ENSEMBL	
ENSG00000253403	lncRNA	GABRA6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40248]
ENSG00000253407	lncRNA	novel transcript
ENSG00000253416	lncRNA	novel transcript
ENSG00000253424	lncRNA	novel transcript
ENSG00000253427	lncRNA	novel transcript
ENSG00000253432	lncRNA	novel transcript
ENSG00000253444	NOT_FOUND_IN_ENSEMBL	
ENSG00000253445	lncRNA	novel transcript
ENSG00000253447	lncRNA	NSG2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41074]
ENSG00000253449	lncRNA	novel transcript
ENSG00000253452	lncRNA	novel transcript
ENSG00000253456	lncRNA	novel transcript
ENSG00000253469	lncRNA	novel transcript
ENSG00000253470	lncRNA	novel transcript
ENSG00000253471	lncRNA	novel transcript
ENSG00000253474	lncRNA	novel transcript
ENSG00000253476	lncRNA	novel transcript
ENSG00000253484	NOT_FOUND_IN_ENSEMBL	
ENSG00000253496	lncRNA	novel transcript
ENSG00000253500	lncRNA	novel transcript, antisense to CNBD1
ENSG00000253503	lncRNA	novel transcript
ENSG00000253507	lncRNA	IGF2BP1 associated definitive endoderm lncRNA [Source:HGNC Symbol;Acc:HGNC:56877]
ENSG00000253508	lncRNA	novel transcript
ENSG00000253510	lncRNA	TEC
ENSG00000253515	lncRNA	novel transcript
ENSG00000253519	lncRNA	novel transcript
ENSG00000253523	lncRNA	novel transcript
ENSG00000253524	lncRNA	novel transcript
ENSG00000253526	lncRNA	novel transcript
ENSG00000253527	lncRNA	novel transcript
ENSG00000253530	lncRNA	novel transcript
ENSG00000253538	lncRNA	novel transcript
ENSG00000253539	lncRNA	novel transcript
ENSG00000253551	lncRNA	ST18 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:58615]
ENSG00000253553	lncRNA	novel transcript, antisense to MMP16
ENSG00000253557	lncRNA	novel transcript
ENSG00000253561	lncRNA	novel transcript
ENSG00000253562	lncRNA	novel transcript
ENSG00000253567	lncRNA	FBXO16 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58255]
ENSG00000253572	lncRNA	novel transcript
ENSG00000253573	lncRNA	novel transcript
ENSG00000253574	lncRNA	novel transcript
ENSG00000253576	lncRNA	novel transcript
ENSG00000253577	lncRNA	TRIQK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58428]
ENSG00000253583	lncRNA	novel transcript
ENSG00000253585	lncRNA	novel transcript
ENSG00000253593	lncRNA	novel transcript
ENSG00000253596	lncRNA	novel transcript
ENSG00000253604	lncRNA	novel transcript
ENSG00000253607	lncRNA	novel transcript, antisense to DERL1
ENSG00000253608	lncRNA	novel transcript
ENSG00000253613	lncRNA	novel transcript
ENSG00000253614	lncRNA	novel transcript
ENSG00000253616	lncRNA	cancer hallmarks in lung lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:55933]
ENSG00000253619	lncRNA	novel transcript
ENSG00000253628	lncRNA	novel transcript
ENSG00000253629	lncRNA	novel transcript
ENSG00000253632	lncRNA	novel transcript
ENSG00000253633	lncRNA	long intergenic non-protein coding RNA 3047 [Source:HGNC Symbol;Acc:HGNC:56265]
ENSG00000253634	lncRNA	novel transcript
ENSG00000253636	lncRNA	novel transcript
ENSG00000253642	lncRNA	novel transcript
ENSG00000253645	lncRNA	novel transcript
ENSG00000253648	lncRNA	novel transcript
ENSG00000253652	lncRNA	novel transcript
ENSG00000253653	lncRNA	novel transcript
ENSG00000253656	lncRNA	novel transcript
ENSG00000253659	lncRNA	novel transcript
ENSG00000253660	lncRNA	TENM2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:58261]
ENSG00000253664	lncRNA	novel transcript
ENSG00000253666	lncRNA	novel transcript
ENSG00000253672	lncRNA	novel transcript
ENSG00000253673	lncRNA	novel transcript
ENSG00000253675	lncRNA	novel transcript
ENSG00000253678	lncRNA	novel transcript
ENSG00000253682	lncRNA	novel transcript
ENSG00000253687	lncRNA	novel transcript
ENSG00000253688	lncRNA	novel transcript
ENSG00000253690	lncRNA	novel transcript
ENSG00000253693	lncRNA	novel transcript
ENSG00000253698	lncRNA	COL23A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41005]
ENSG00000253699	lncRNA	novel transcript
ENSG00000253706	lncRNA	novel transcript, antisense to PI15
ENSG00000253708	lncRNA	novel transcript
ENSG00000253713	lncRNA	novel transcript
ENSG00000253715	lncRNA	novel transcript
ENSG00000253717	lncRNA	novel transcript
ENSG00000253720	lncRNA	CYRIB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58396]
ENSG00000253722	lncRNA	novel transcript
ENSG00000253728	lncRNA	novel transcript
ENSG00000253730	lncRNA	novel transcript
ENSG00000253735	NOT_FOUND_IN_ENSEMBL	
ENSG00000253736	lncRNA	novel transcript, antisense to DUSP1
ENSG00000253737	NOT_FOUND_IN_ENSEMBL	
ENSG00000253740	lncRNA	novel transcript
ENSG00000253744	lncRNA	novel transcript
ENSG00000253745	lncRNA	novel transcript
ENSG00000253746	lncRNA	novel transcript
ENSG00000253749	lncRNA	novel transcript
ENSG00000253754	lncRNA	novel transcript
ENSG00000253762	NOT_FOUND_IN_ENSEMBL	
ENSG00000253766	NOT_FOUND_IN_ENSEMBL	
ENSG00000253768	lncRNA	novel transcript
ENSG00000253774	NOT_FOUND_IN_ENSEMBL	
ENSG00000253775	lncRNA	novel transcript
ENSG00000253776	lncRNA	novel transcript
ENSG00000253778	lncRNA	CNGB3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58258]
ENSG00000253782	lncRNA	novel transcript
ENSG00000253783	lncRNA	novel transcript
ENSG00000253784	lncRNA	KCNB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58256]
ENSG00000253792	lncRNA	novel transcript
ENSG00000253796	lncRNA	novel transcript
ENSG00000253805	NOT_FOUND_IN_ENSEMBL	
ENSG00000253806	lncRNA	novel transcript
ENSG00000253809	lncRNA	novel transcript
ENSG00000253811	lncRNA	novel transcript
ENSG00000253821	lncRNA	novel transcript
ENSG00000253824	lncRNA	novel transcript
ENSG00000253825	lncRNA	novel transcript
ENSG00000253829	lncRNA	novel transcript
ENSG00000253832	lncRNA	novel transcript
ENSG00000253834	lncRNA	novel transcript
ENSG00000253836	lncRNA	novel transcript
ENSG00000253837	lncRNA	LOXL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56648]
ENSG00000253844	NOT_FOUND_IN_ENSEMBL	
ENSG00000253852	lncRNA	novel transcript
ENSG00000253853	lncRNA	novel transcript
ENSG00000253855	lncRNA	novel transcript
ENSG00000253858	lncRNA	KCNIP1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40709]
ENSG00000253859	NOT_FOUND_IN_ENSEMBL	
ENSG00000253865	lncRNA	novel transcript
ENSG00000253871	lncRNA	novel transcript
ENSG00000253875	lncRNA	novel transcript
ENSG00000253879	lncRNA	novel transcript
ENSG00000253880	lncRNA	novel transcript
ENSG00000253887	lncRNA	novel transcript
ENSG00000253888	lncRNA	novel transcript
ENSG00000253891	NOT_FOUND_IN_ENSEMBL	
ENSG00000253892	lncRNA	novel transcript
ENSG00000253894	lncRNA	novel transcript
ENSG00000253896	lncRNA	novel transcript
ENSG00000253901	lncRNA	novel transcript
ENSG00000253903	lncRNA	novel transcript
ENSG00000253911	lncRNA	novel transcript
ENSG00000253917	lncRNA	novel transcript
ENSG00000253924	lncRNA	ST18 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58430]
ENSG00000253925	lncRNA	novel transcript
ENSG00000253926	lncRNA	novel transcript
ENSG00000253927	lncRNA	novel transcript
ENSG00000253932	lncRNA	novel transcript
ENSG00000253939	lncRNA	novel transcript, antisense to IDO1 and IDO2
ENSG00000253947	lncRNA	novel transcript
ENSG00000253949	lncRNA	novel transcript
ENSG00000253956	lncRNA	novel transcript
ENSG00000253961	lncRNA	WRN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58431]
ENSG00000253965	lncRNA	novel transcript
ENSG00000253968	lncRNA	novel transcript
ENSG00000253976	lncRNA	novel transcript
ENSG00000253979	lncRNA	novel transcript
ENSG00000253980	lncRNA	novel transcript
ENSG00000253983	NOT_FOUND_IN_ENSEMBL	
ENSG00000253986	lncRNA	novel transcript
ENSG00000253988	NOT_FOUND_IN_ENSEMBL	
ENSG00000253992	lncRNA	novel transcript
ENSG00000254000	lncRNA	novel transcript
ENSG00000254001	lncRNA	novel transcript
ENSG00000254002	lncRNA	novel transcript
ENSG00000254006	lncRNA	novel transcript
ENSG00000254007	lncRNA	novel transcript
ENSG00000254019	lncRNA	SLC45A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56711]
ENSG00000254021	lncRNA	novel transcript
ENSG00000254024	lncRNA	GRHL2 divergent transcript [Source:NCBI gene (formerly Entrezgene);Acc:107986962]
ENSG00000254028	NOT_FOUND_IN_ENSEMBL	
ENSG00000254033	lncRNA	novel transcript
ENSG00000254035	lncRNA	novel transcript
ENSG00000254038	lncRNA	novel transcript
ENSG00000254039	NOT_FOUND_IN_ENSEMBL	
ENSG00000254040	lncRNA	novel transcript
ENSG00000254041	lncRNA	long intergenic non-protein coding RNA 3084 [Source:HGNC Symbol;Acc:HGNC:56686]
ENSG00000254043	lncRNA	novel transcript
ENSG00000254050	lncRNA	novel transcript
ENSG00000254054	lncRNA	FGL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58257]
ENSG00000254055	lncRNA	novel transcript
ENSG00000254057	lncRNA	novel transcript
ENSG00000254060	lncRNA	novel transcript
ENSG00000254080	lncRNA	long intergenic non-protein coding RNA 3071 [Source:HGNC Symbol;Acc:HGNC:56645]
ENSG00000254084	lncRNA	novel transcript
ENSG00000254086	lncRNA	novel transcript
ENSG00000254089	lncRNA	novel transcript
ENSG00000254092	lncRNA	novel transcript
ENSG00000254099	lncRNA	novel transcript
ENSG00000254111	lncRNA	novel transcript
ENSG00000254113	lncRNA	novel transcript
ENSG00000254115	NOT_FOUND_IN_ENSEMBL	
ENSG00000254129	lncRNA	novel transcript, antisense to KIF13B
ENSG00000254135	lncRNA	novel transcript
ENSG00000254136	lncRNA	novel transcript
ENSG00000254138	NOT_FOUND_IN_ENSEMBL	
ENSG00000254143	NOT_FOUND_IN_ENSEMBL	
ENSG00000254160	lncRNA	novel transcript
ENSG00000254162	lncRNA	novel transcript
ENSG00000254163	lncRNA	novel transcript
ENSG00000254164	lncRNA	novel transcript
ENSG00000254171	lncRNA	novel transcript
ENSG00000254177	lncRNA	novel transcript
ENSG00000254178	lncRNA	novel transcript
ENSG00000254180	NOT_FOUND_IN_ENSEMBL	
ENSG00000254186	lncRNA	novel transcript
ENSG00000254187	lncRNA	TENM2 antisense RNA 4 [Source:HGNC Symbol;Acc:HGNC:58432]
ENSG00000254192	lncRNA	novel transcript
ENSG00000254194	lncRNA	novel transcript
ENSG00000254197	lncRNA	SLC45A4 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58259]
ENSG00000254201	lncRNA	novel transcript
ENSG00000254202	lncRNA	novel transcript
ENSG00000254204	lncRNA	novel transcript
ENSG00000254205	lncRNA	novel transcript
ENSG00000254208	lncRNA	novel transcript, antisense to E2F5
ENSG00000254219	lncRNA	novel transcript
ENSG00000254222	lncRNA	novel transcript
ENSG00000254230	lncRNA	novel transcript
ENSG00000254236	lncRNA	novel transcript
ENSG00000254237	lncRNA	novel transcript
ENSG00000254238	lncRNA	novel transcript
ENSG00000254239	lncRNA	novel transcript
ENSG00000254242	lncRNA	novel transcript
ENSG00000254246	lncRNA	novel transcript
ENSG00000254248	lncRNA	novel transcript, antisense to NDUFAF6
ENSG00000254251	lncRNA	novel transcript
ENSG00000254258	lncRNA	novel transcript
ENSG00000254260	lncRNA	novel transcript
ENSG00000254261	lncRNA	novel transcript
ENSG00000254263	lncRNA	novel transcript
ENSG00000254277	lncRNA	novel transcript
ENSG00000254278	lncRNA	novel transcript
ENSG00000254288	lncRNA	novel transcript
ENSG00000254290	NOT_FOUND_IN_ENSEMBL	
ENSG00000254291	lncRNA	novel transcript
ENSG00000254293	lncRNA	novel transcript
ENSG00000254295	lncRNA	novel transcript
ENSG00000254297	lncRNA	TENM2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58260]
ENSG00000254298	lncRNA	novel transcript
ENSG00000254302	lncRNA	novel transcript
ENSG00000254303	lncRNA	novel transcript
ENSG00000254306	NOT_FOUND_IN_ENSEMBL	
ENSG00000254307	lncRNA	novel transcript
ENSG00000254314	lncRNA	ST18 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58433]
ENSG00000254315	lncRNA	novel transcript
ENSG00000254317	lncRNA	novel transcript
ENSG00000254321	lncRNA	novel transcript
ENSG00000254334	lncRNA	long intergenic non-protein coding RNA 3093 [Source:HGNC Symbol;Acc:HGNC:56723]
ENSG00000254337	lncRNA	novel transcript
ENSG00000254339	lncRNA	novel transcript
ENSG00000254340	lncRNA	PPP1R3B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58434]
ENSG00000254343	lncRNA	novel transcript
ENSG00000254347	lncRNA	novel transcript
ENSG00000254350	lncRNA	novel transcript
ENSG00000254361	lncRNA	novel transcript
ENSG00000254363	lncRNA	novel transcript
ENSG00000254365	lncRNA	novel transcript
ENSG00000254366	lncRNA	novel transcript
ENSG00000254367	lncRNA	novel transcript
ENSG00000254372	lncRNA	novel transcript
ENSG00000254380	lncRNA	novel transcript
ENSG00000254383	lncRNA	novel transcript
ENSG00000254391	lncRNA	novel transcript
ENSG00000254394	lncRNA	novel transcript
ENSG00000254396	lncRNA	novel transcript
ENSG00000254397	lncRNA	novel transcript
ENSG00000254400	lncRNA	novel transcript
ENSG00000254404	lncRNA	novel transcript
ENSG00000254409	lncRNA	novel transcript, sense overlapping C11orf96
ENSG00000254420	NOT_FOUND_IN_ENSEMBL	
ENSG00000254422	lncRNA	novel transcript
ENSG00000254428	lncRNA	novel transcript, antisense to CCDC84
ENSG00000254429	lncRNA	novel transcript
ENSG00000254431	lncRNA	novel transcript
ENSG00000254432	lncRNA	novel transcript
ENSG00000254433	lncRNA	AASDHPPT antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58262]
ENSG00000254434	lncRNA	novel transcript
ENSG00000254443	lncRNA	novel transcript
ENSG00000254444	lncRNA	novel transcript, sense overlapping OR52B2
ENSG00000254447	lncRNA	novel transcript
ENSG00000254458	lncRNA	novel transcript
ENSG00000254459	lncRNA	novel transcript, antisense to AAMDC
ENSG00000254461	lncRNA	novel transcript
ENSG00000254467	lncRNA	novel transcript
ENSG00000254468	lncRNA	novel transcript
ENSG00000254477	lncRNA	novel transcript
ENSG00000254488	lncRNA	novel transcript
ENSG00000254497	lncRNA	SYT13 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58435]
ENSG00000254499	lncRNA	novel transcript
ENSG00000254501	lncRNA	novel transcript
ENSG00000254510	lncRNA	novel transcript
ENSG00000254511	lncRNA	novel transcript
ENSG00000254514	lncRNA	novel transcript
ENSG00000254519	lncRNA	novel transcript
ENSG00000254526	lncRNA	novel transcript
ENSG00000254533	lncRNA	novel transcript
ENSG00000254536	protein_coding	novel protein
ENSG00000254538	lncRNA	novel transcript
ENSG00000254539	lncRNA	novel transcript
ENSG00000254540	lncRNA	novel transcript
ENSG00000254545	lncRNA	novel transcript
ENSG00000254548	lncRNA	novel transcript
ENSG00000254551	lncRNA	novel transcript
ENSG00000254553	protein_coding	novel transcript
ENSG00000254557	lncRNA	novel transcript
ENSG00000254559	lncRNA	novel transcript
ENSG00000254561	NOT_FOUND_IN_ENSEMBL	
ENSG00000254563	lncRNA	novel transcript
ENSG00000254566	lncRNA	novel transcript
ENSG00000254568	lncRNA	novel transcript
ENSG00000254571	lncRNA	novel transcript
ENSG00000254573	lncRNA	novel transcript
ENSG00000254574	lncRNA	novel transcript
ENSG00000254575	lncRNA	novel transcript
ENSG00000254578	lncRNA	novel transcript, antisense to CYHR1
ENSG00000254586	lncRNA	novel transcript
ENSG00000254587	NOT_FOUND_IN_ENSEMBL	
ENSG00000254592	lncRNA	novel transcript
ENSG00000254599	lncRNA	novel transcript
ENSG00000254604	lncRNA	novel transcript
ENSG00000254605	lncRNA	novel transcript
ENSG00000254607	lncRNA	KIRREL3 antisense RNA 4 [Source:HGNC Symbol;Acc:HGNC:58263]
ENSG00000254619	NOT_FOUND_IN_ENSEMBL	
ENSG00000254625	lncRNA	novel transcript
ENSG00000254626	lncRNA	novel transcript
ENSG00000254631	lncRNA	novel transcript, antisense to PGM2L1
ENSG00000254632	lncRNA	novel transcript
ENSG00000254638	lncRNA	TEX12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58436]
ENSG00000254639	lncRNA	novel transcript
ENSG00000254645	lncRNA	novel transcript
ENSG00000254648	lncRNA	novel transcript
ENSG00000254651	NOT_FOUND_IN_ENSEMBL	
ENSG00000254653	lncRNA	novel transcript
ENSG00000254662	lncRNA	novel transcript
ENSG00000254664	lncRNA	novel transcript
ENSG00000254669	lncRNA	novel transcript
ENSG00000254673	protein_coding	novel protein
ENSG00000254675	lncRNA	novel transcript
ENSG00000254680	lncRNA	MICAL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58437]
ENSG00000254682	lncRNA	DHCR7 divergent transcript [Source:HGNC Symbol;Acc:HGNC:56822]
